                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3245,                 5.1129,                 2.0435,                0.00367,                0.49336,                0.00629,                0.00214,                 1.8558,                 7.9635,                 1.7953,             0.00065537,             0.00065537,             0.00065537
                      2,                 1.9841,                 3.7718,                 1.7386,                0.52256,                0.31568,                0.32658,                0.16401,                 2.0565,                 2.9488,                 1.8121,              0.0012846,              0.0012846,              0.0012846
                      3,                 2.0157,                 3.3208,                 1.7441,                0.22953,                0.10626,                0.07337,                0.03095,                 2.9177,                 3.6969,                 2.8785,              0.0018762,              0.0018762,              0.0018762
                      4,                 2.0277,                 2.9234,                 1.7365,                0.25996,                0.21252,                0.13086,                0.05197,                  2.766,                 3.1292,                 2.4694,              0.0018303,              0.0018303,              0.0018303
                      5,                 1.9912,                 2.5629,                 1.6833,                0.55835,                0.26945,                0.28752,                0.14206,                 2.0254,                 3.7411,                 1.9628,              0.0017737,              0.0017737,              0.0017737
                      6,                 1.9229,                 2.2381,                  1.647,                0.61896,                0.42694,                0.44503,                0.23265,                 1.9579,                 2.5644,                  1.697,              0.0017171,              0.0017171,              0.0017171
                      7,                 1.8636,                 2.0742,                  1.585,                0.82164,                0.44023,                0.59614,                0.33353,                 1.6854,                 1.7671,                 1.5365,              0.0016606,              0.0016606,              0.0016606
                      8,                 1.7222,                 1.7498,                 1.4982,                 0.7542,                0.50854,                0.58928,                0.32649,                 1.7015,                 1.6324,                 1.5341,               0.001604,               0.001604,               0.001604
                      9,                  1.682,                 1.6404,                  1.451,                0.76888,                0.60342,                0.65855,                0.33556,                 1.7656,                 1.5195,                 1.5425,              0.0015474,              0.0015474,              0.0015474
                     10,                 1.7266,                 1.4862,                 1.4815,                0.86508,                0.69348,                0.77601,                0.42483,                 1.7409,                 1.2046,                 1.4906,              0.0014909,              0.0014909,              0.0014909
