                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6408,                 1.9951,                 1.6579,                0.98418,                    0.6,                0.60639,                0.49561,                 1.3361,                 1.7143,                 1.2558,                      0,                      0,                      0
                      2,                 1.6516,                 2.0894,                 1.6553,                0.98428,                    0.6,                0.60618,                0.50518,                 1.3201,                 1.6841,                 1.2456,             1.9604e-05,             1.9604e-05,             1.9604e-05
                      3,                 1.5509,                 1.7371,                 1.5716,                0.98448,                    0.6,                0.60639,                0.50536,                  1.312,                  1.635,                 1.2393,             3.8416e-05,             3.8416e-05,             3.8416e-05
                      4,                 1.5425,                 2.1998,                 1.6024,                0.98454,                    0.6,                0.60706,                0.50594,                 1.2997,                 1.5882,                 1.2246,             5.6436e-05,             5.6436e-05,             5.6436e-05
                      5,                 1.7256,                 1.8738,                 1.6196,                0.98446,                    0.6,                0.60809,                0.50683,                 1.2203,                 1.4876,                  1.188,             7.3664e-05,             7.3664e-05,             7.3664e-05
                      6,                 1.4504,                  1.795,                 1.5275,                0.98455,                    0.6,                0.60837,                0.50708,                 1.1449,                 1.3872,                 1.1499,               9.01e-05,               9.01e-05,               9.01e-05
                      7,                 1.4891,                 2.0215,                 1.4803,                0.98449,                    0.6,                   0.61,                0.50849,                 1.0877,                 1.3568,                 1.1247,             0.00010574,             0.00010574,             0.00010574
                      8,                 1.4526,                 1.6302,                 1.4273,                0.98425,                    0.6,                 0.6093,                0.52836,                 1.0509,                 1.3542,                 1.1164,              0.0001206,              0.0001206,              0.0001206
                      9,                   1.26,                 1.7089,                 1.3317,                0.98418,                    0.6,                   0.61,                0.52899,                 1.0069,                 1.2815,                 1.0949,             0.00013466,             0.00013466,             0.00013466
                     10,                 1.1378,                 1.6001,                 1.3465,                0.98415,                    0.6,                0.61038,                0.52933,                0.95618,                 1.1868,                 1.0756,             0.00014792,             0.00014792,             0.00014792
                     11,                 1.3656,                 1.8053,                 1.3479,                0.98414,                    0.6,                0.61118,                0.53005,                0.95349,                 1.1958,                 1.0835,              0.0001604,              0.0001604,              0.0001604
                     12,                 1.0755,                 1.5945,                 1.3375,                0.98376,                    0.6,                0.60867,                0.52779,                 0.9366,                 1.0957,                 1.0783,             0.00017208,             0.00017208,             0.00017208
                     13,                 1.3038,                 1.6304,                 1.3229,                0.98374,                    0.6,                0.60508,                0.52457,                0.90012,                 1.0394,                 1.0633,             0.00018298,             0.00018298,             0.00018298
                     14,                 1.1252,                  1.722,                 1.3971,                0.98368,                    0.6,                0.60121,                0.52109,                0.91117,                 1.0561,                 1.0663,             0.00019308,             0.00019308,             0.00019308
                     15,                 1.1725,                 1.4801,                 1.3613,                0.98344,                    0.6,                0.59803,                0.51822,                0.97535,                 1.1525,                 1.0895,             0.00020238,             0.00020238,             0.00020238
                     16,                 1.2545,                 1.7418,                 1.4223,                0.98331,                    0.6,                0.59911,                0.51801,                0.98982,                 1.1793,                 1.0926,              0.0002109,              0.0002109,              0.0002109
                     17,                 1.1777,                 1.4515,                 1.3595,                0.98325,                    0.6,                0.60385,                0.51952,                0.95507,                 1.1065,                 1.0759,             0.00021862,             0.00021862,             0.00021862
                     18,                 1.0997,                 1.2715,                 1.2731,                0.98325,                    0.6,                0.60385,                0.51952,                0.95507,                 1.1065,                 1.0759,             0.00022556,             0.00022556,             0.00022556
                     19,                 1.1007,                 1.3133,                   1.36,                0.98309,                    0.6,                0.60265,                0.51985,                0.94784,                 1.0859,                 1.0658,              0.0002317,              0.0002317,              0.0002317
                     20,                 1.2268,                 1.5484,                 1.3102,                0.98309,                    0.6,                0.60265,                0.51985,                0.94784,                 1.0859,                 1.0658,             0.00023704,             0.00023704,             0.00023704
                     21,                 1.2309,                  1.397,                 1.3363,                0.98315,                    0.6,                0.60908,                0.49191,                0.94925,                 1.0672,                 1.0574,              0.0002416,              0.0002416,              0.0002416
                     22,                 1.0797,                 1.1681,                 1.3118,                0.98315,                    0.6,                0.60908,                0.49191,                0.94925,                 1.0672,                 1.0574,             0.00024536,             0.00024536,             0.00024536
                     23,                 1.1076,                 1.0322,                  1.279,                0.98332,                    0.6,                0.61952,                0.49459,                0.98478,                 1.0645,                 1.0639,             0.00024834,             0.00024834,             0.00024834
                     24,                 1.0651,                 1.0825,                 1.2306,                0.98332,                    0.6,                0.61952,                0.49459,                0.98478,                 1.0645,                 1.0639,             0.00025052,             0.00025052,             0.00025052
